(Carine le Britannia, Carine ne Britannia)
(Carine ne Britannia, Pendragon)
(Carine ne Britannia, F.L.E.I.J.A.)
(Carine ne Britannia, Guinevere de Britannia)
(Carine ne Britannia, Nunnally vi Britannia)
(Carine ne Britannia, Britannian Imperial Family)
(Carine ne Britannia, Lelouch vi Britannia)
(Carine ne Britannia, Orpheus Zevon)
(Middle Eastern Federation, Chinese Federation)
(Middle Eastern Federation, Andreas Darlton)
(Middle Eastern Federation, United Federation of Nations)
(Middle Eastern Federation, Europia United)
(Middle Eastern Federation, Lelouch vi Britannia)
(Middle Eastern Federation, Bamides)
(Middle Eastern Federation, Cornelia li Britannia)
(Middle Eastern Federation, Holy Britannian Empire)
(Middle Eastern Federation, Middle Eastern Federation Skirmish)
(Middle Eastern Federation, Britannian Army)
(Middle Eastern Federation, Thought Elevator)
(Mariel Labie, Mariel Lubie)
(Code Geass x CLAMP: Mutuality, CLAMP)
(Code Geass x CLAMP: Mutuality, Artbooks)
(Sophie Wood, Swimming Club)
(Sophie Wood, C.C.)
(Sophie Wood, Zero)
(Sophie Wood, Geass vs. Geass (episode))
(Sophie Wood, Lelouch)
(Sophie Wood, Ashford Academy)
(Sophie Wood, The False Classmate)
(Sophie Wood, Kallen)
(Sophie Wood, Britannian)
(Sophie Wood, Shirley Fenette)
(Battle of Mount Fuji, Battle of Mt. Fuji)
(Michael McConnohie, Code Geass)
(Michael McConnohie, Charles zi Britannia)
(Alice Shaing, The Wyvern Divided (episode))
(Alice Shaing, Leila Malcal)
(Alice Shaing, CLAMP)
(Alice Shaing, Shin Hyuga Shaing)
(Alice Shaing, Holy Britannian Empire)
(Alice Shaing, Code Geass: Akito the Exiled)
(Alice Shaing, Maria Shaing)
(Gun Ru, Gang Lou)
(Stage 3, The False Classmate (episode))
(The Stolen Mask (episode), Toru Yoshida)
(The Stolen Mask (episode), Kallen Kōzuki)
(The Stolen Mask (episode), Ashford Academy)
(The Stolen Mask (episode), Code Geass: Lelouch of the Rebellion)
(The Stolen Mask (episode), Sword of Akasha)
(The Stolen Mask (episode), Villetta Nu)
(The Stolen Mask (episode), Yoshitaka Minami)
(The Stolen Mask (episode), Diethard Ried)
(The Stolen Mask (episode), Euphemia li Britannia)
(The Stolen Mask (episode), Ohgi)
(The Stolen Mask (episode), Guilford)
(The Stolen Mask (episode), Sophie Wood)
(The Stolen Mask (episode), Tamaki)
(The Stolen Mask (episode), Andreas Darlton)
(The Stolen Mask (episode), Lelouch Lamperouge)
(The Stolen Mask (episode), Charles zi Britannia)
(The Stolen Mask (episode), Geass)
(The Stolen Mask (episode), Clovis)
(The Stolen Mask (episode), Odysseus eu Britannia)
(The Stolen Mask (episode), Suzaku Kururugi)
(The Stolen Mask (episode), Blood of the Samurai)
(The Stolen Mask (episode), Shirley Fenette)
(The Stolen Mask (episode), Jeremiah Gottwald)
(The Stolen Mask (episode), Marianne vi Britannia)
(The Stolen Mask (episode), Cornelia's Gloucester)
(The Stolen Mask (episode), Geass Directorate)
(The Stolen Mask (episode), Britannian)
(The Stolen Mask (episode), Milly Ashford)
(The Stolen Mask (episode), Sayoko Shinozaki)
(The Stolen Mask (episode), Lancelot)
