(Ian's, Ian Hainsworth)
(Victor (1.07), Wisteria Lane)
(Victor (1.07), Martha Huber)
(Victor (1.07), Bree)
(Victor (1.07), Martha)
(Victor (1.07), Bree Van de Kamp)
(Victor (1.07), Anything You Can Do)
(Victor (1.07), S1)
(Tamara, Betty Applewhite)
(Redhead Bastard, Bree Van de Kamp)
(Robin, Robin Gallagher)
(4362 Wisteria Lane, Travers McLain)
(4362 Wisteria Lane, Lance)
(4362 Wisteria Lane, Lynette Scavo)
(4362 Wisteria Lane, Umberto Rothwell)
(4362 Wisteria Lane, Dave Williams)
(4362 Wisteria Lane, Karl Mayer)
(4362 Wisteria Lane, Carlos Solis)
(4362 Wisteria Lane, Stephanie)
(4362 Wisteria Lane, Renee Perry)
(4362 Wisteria Lane, Edie Britt)
(4362 Wisteria Lane, Susan Mayer)
(4362 Wisteria Lane, Austin McCann)
(1.08, Guilty)
(James Delfino, Julie Mayer)
(James Delfino, Zach Young)
(James Delfino, Adele Delfino)
(James Delfino, Mike Delfino)
(James Delfino, The Gun Song)
(James Delfino, Susan Bremmer)
(James Delfino, MJ Delfino)
(James Delfino, Nick Delfino)
(James Delfino, Laura Delfino)
(8.05, The Art of Making Art)
(The Lies Ill-Concealed, 4349 Wisteria Lane)
(The Lies Ill-Concealed, Tom)
(The Lies Ill-Concealed, Andrew)
(The Lies Ill-Concealed, Larry Shaw)
(The Lies Ill-Concealed, Bob)
(The Lies Ill-Concealed, Parker Scavo)
(The Lies Ill-Concealed, 4356)
(The Lies Ill-Concealed, Tom Scavo)
(The Lies Ill-Concealed, Beth Young)
(The Lies Ill-Concealed, Charlie Carver)
(The Lies Ill-Concealed, Brenda Strong)
(The Lies Ill-Concealed, Wisteria Lane)
(The Lies Ill-Concealed, Celia Solis)
(The Lies Ill-Concealed, 4355 Wisteria Lane)
(The Lies Ill-Concealed, Mary Alice Young)
(The Lies Ill-Concealed, 4353)
(The Lies Ill-Concealed, No One Is Alone)
(The Lies Ill-Concealed, Mrs. McCluskey)
(The Lies Ill-Concealed, Bree)
(The Lies Ill-Concealed, Roy)
(The Lies Ill-Concealed, Felicity Huffman)
(The Lies Ill-Concealed, Felicia Tilman)
(The Lies Ill-Concealed, Ricardo Antonio Chavira)
(The Lies Ill-Concealed, Marcia Cross)
(The Lies Ill-Concealed, Bree Van de Kamp)
(The Lies Ill-Concealed, Eva Longoria)
(The Lies Ill-Concealed, Mason Vale Cotton)
(The Lies Ill-Concealed, Darcy Rose Byrnes)
(The Lies Ill-Concealed, 4354)
(The Lies Ill-Concealed, Daniella Baltodano)
(The Lies Ill-Concealed, Karen)
(The Lies Ill-Concealed, Felicia)
(The Lies Ill-Concealed, Lee)
(The Lies Ill-Concealed, Lee McDermott)
(The Lies Ill-Concealed, Desperate Housewives)
(The Lies Ill-Concealed, Juanita "Mama" Solis)
(The Lies Ill-Concealed, Season 5)
(The Lies Ill-Concealed, Ida Greenberg)
(The Lies Ill-Concealed, MJ)
(The Lies Ill-Concealed, Mike Delfino)
(The Lies Ill-Concealed, Season 4)
(The Lies Ill-Concealed, Teri Hatcher)
(The Lies Ill-Concealed, Renee Perry)
(The Lies Ill-Concealed, MJ Delfino)
(The Lies Ill-Concealed, Karen McCluskey)
(The Lies Ill-Concealed, Lynette)
(The Lies Ill-Concealed, Bob Hunter)
(The Lies Ill-Concealed, Vanessa Williams)
(The Lies Ill-Concealed, Toby)
(The Lies Ill-Concealed, Porter Scavo)
(The Lies Ill-Concealed, Martha Huber)
(The Lies Ill-Concealed, Paige)
(The Lies Ill-Concealed, 4352)
(The Lies Ill-Concealed, Guilty)
(The Lies Ill-Concealed, Paul)
