(Help folder, Apple Inc.)
(Help folder, System Folder)
(Help folder, Classic Mac OS)
(Help folder, Mac OS 8.5)
(Help folder, 1991)
(PowerBook, PowerBook 1400cs)
(PowerBook, PowerBook 140)
(PowerBook, PowerBook 170)
(PowerBook, 2006)
(PowerBook, PowerBook 2400c)
(PowerBook, MacBook Pro)
(PowerBook, Titanium PowerBook G4)
(PowerBook, Macintosh Portable)
(PowerBook, 1991)
(PowerBook, PowerBook 145)
(PowerBook, PowerBook G3)
(PowerBook, PowerBook 160)
(PowerBook, PowerBook 100)
(PowerBook, PowerBook 5300)
(PowerBook, PowerBook 180c)
(PowerBook, Macintosh)
(PowerBook, PowerBook 3400)
(PowerBook, PowerBook 180)
(Mac OS X DP1, Mac OS X DP)
(IOS 1, IPod Touch)
(IOS 1, IPhone)
(Apple Lossless, Apple Inc.)
(Apple Lossless, 2004)
(Apple Lossless, QuickTime)
(Macintosh TV, Apple TV)
(HotSauce, Apple Inc.)
(HotSauce, Steve Jobs)
(HotSauce, Mac OS)
(HotSauce, Microsoft Windows)
(HotSauce, 1997)
(Mac OS 8.6, Mac OS 8.5.1)
(Mac OS 8.6, Mac OS 8.5)
(Mac OS 8.6, Mac OS Startup Screen)
(Sad Mac icon, Macintosh II)
(Sad Mac icon, Macintosh Performa 6200)
(Sad Mac icon, Macintosh Plus)
(Sad Mac icon, PowerPC)
(Sad Mac icon, Old World ROM)
(Sad Mac icon, Macintosh)
(Sad Mac icon, Happy Mac)
(MacDraw, System 7.1)
(MacDraw, The Apple Macintosh Book)
(MacDraw, ClarisDraw)
(MacDraw, MacPaint)
(MacDraw, MacWrite)
(MacDraw, Macintosh)
(Apple Menu Options control panel, Apple menu)
(Apple Menu Options control panel, Apple Menu Items folder)
(Apple Menu Options control panel, System 7.5)
(Apple Menu Options control panel, Mac OS 9.1)
(IPhone OS 3, IOS 3)
(IPod Touch 4g, IPod Touch 4)
(Xserve, Apple Inc.)
(Xserve, Xserve RAID)
(Xserve, 2004)
(Xserve, 2005)
(Xserve, 2003)
(Xserve, 2002)
(Xserve, Mac OS X 10.3)
(Exposé, PowerBook)
(Exposé, Microsoft Windows)
(Exposé, Konfabulator)
(Exposé, Mac OS X)
(Exposé, 2003)
(Exposé, Quartz Compositor)
(Exposé, Mac OS X 10.3)
(Main Page, Home Page)
(VoiceOver Utility, Macintosh)
(VoiceOver Utility, Utilities folder)
(VoiceOver Utility, Applications folder)
(VoiceOver Utility, Mac OS X)
