(Lyrics:Steak No. 3, Steak No. 3)
(Lyrics:Polkarama!, Polkarama!)
(Single:The Night Santa Went Crazy, The Night Santa Went Crazy)
(Single:The Night Santa Went Crazy, Christmas At Ground Zero)
(Lyrics:Won't Eat Prunes Again, Won't Eat Prunes Again)
(Lyrics:Mr. Frump In The Iron Lung, Mr.Frump In The Iron Lung)
(RealRadio 104.1, Lyrics:RealRadio 104.1)
(Album:We've Never Played In Hawaii, Single:We've Never Played In Hawaii)
(Theme from Rocky XIII, Theme From Rocky XIII)
(YouTube, "Weird Al" Yankovic)
(YouTube, Videos)
(King Of Suede (song), King Of Suede)
(Stop Draggin' My Car Around, "Weird Al" Yankovic)
(Stop Draggin' My Car Around, Lyrics:Stop Draggin' My Car Around)
(Yoda (disambiguation), Song:Yoda)
(Yoda (disambiguation), Lyrics:Yoda)
(Amoeba, Lyrics:Amoeba)
("Normal Al" Wiki, Weird Al Wiki)
(Lyrics:Laundry Day, Laundry Day)
(Al's Band (disambiguation), Song:Al's Band)
(Al's Band (disambiguation), Al's Band)
(Lyrics:Since You've Been Gone, Since You've Been Gone)
(Toothless People, Lyrics:Toothless People)
(This Is The Life (song), This Is The Life)
(Why Does This Always Happen To Me, Why Does This Always Happen To Me?)
(I was only kidding, I Was Only Kidding)
(Scans:Alpocalypse, Alpocalypse)
(Lyrics:One Of Those Days, One Of Those Days)
(Song:I Lost On Jeopardy, I Lost On Jeopardy)
(Theme From Rocky XIII, Rye or the Kaiser)
(Singles (info), Compilation Albums (info))
(Singles (info), Studio Albums (info))
(Singles (info), "Weird Al" Yankovic)
(Singles (info), EP:Internet Leaks)
(Singles (info), Extended Plays (info))
(Album:The Best Of Yankovic, One More Minute)
(Album:The Best Of Yankovic, Lasagna)
(Album:The Best Of Yankovic, Living With A Hernia)
(Album:The Best Of Yankovic, The Plumbing Song)
(Album:The Best Of Yankovic, Taco Grande)
(Album:The Best Of Yankovic, Like A Surgeon)
(Album:The Best Of Yankovic, Airline Amy)
(Album:The Best Of Yankovic, Smells Like Nirvana)
